Coins_date,id,Price,Market Cap,Total volume
2019-01-09 00:00:00.000,binancecoin,6.57,949451442.212723,53175943.90364797
2019-01-10 00:00:00.000,binancecoin,6.51,932116117.8303659,64385829.721023776
2019-01-11 00:00:00.000,binancecoin,5.84,843867607.4418668,48444058.96517679
2019-01-12 00:00:00.000,binancecoin,5.97,858086715.1090991,38468727.70837153
2019-01-13 00:00:00.000,binancecoin,5.87,848352643.0250479,31010060.119150538
2019-01-14 00:00:00.000,binancecoin,5.48,791125231.1182575,19869758.601752363
2019-01-15 00:00:00.000,binancecoin,6.01,865870579.6038663,32637415.937866982
2019-01-16 00:00:00.000,binancecoin,5.83,836972571.0558848,27558825.28135823
2019-01-17 00:00:00.000,binancecoin,6.06,875623955.7308335,37246934.99339115
2019-01-18 00:00:00.000,binancecoin,6.29,908980505.4565315,36717390.15707982
2019-01-19 00:00:00.000,binancecoin,6.45,932231950.6772872,38221945.40101007
2019-01-20 00:00:00.000,binancecoin,6.53,943088563.6579489,32231147.20349189
2019-01-21 00:00:00.000,binancecoin,6.4,924843287.1309273,32852311.390265502
2019-01-22 00:00:00.000,binancecoin,6.49,937294752.6514071,34108855.4936929
2019-01-23 00:00:00.000,binancecoin,6.45,930093998.4099445,33172193.607380364
2019-01-24 00:00:00.000,binancecoin,6.44,926816549.631004,36033504.69380319
2019-01-25 00:00:00.000,binancecoin,6.43,929515668.5754209,25112669.422096092
2019-01-26 00:00:00.000,binancecoin,6.68,964393101.0744951,41426440.472985245
2019-01-27 00:00:00.000,binancecoin,6.94,1002204225.2074251,45776064.18630811
2019-01-28 00:00:00.000,binancecoin,7.02,1018634228.0052148,56051898.83674288
2019-01-29 00:00:00.000,binancecoin,6.16,891822520.3310019,67014938.62493684
2019-01-30 00:00:00.000,binancecoin,6.26,904087868.8040835,56355880.38661228
2019-01-31 00:00:00.000,binancecoin,6.14,886231112.9762447,41083004.985950395
2019-02-01 00:00:00.000,binancecoin,6.23,899814627.6501919,51789005.94673345
2019-02-02 00:00:00.000,binancecoin,6.53,943085781.0584371,55173635.47599643
2019-02-03 00:00:00.000,binancecoin,6.89,994615955.6096878,63752961.364136934
2019-02-04 00:00:00.000,binancecoin,6.73,981881034.1574684,70050588.9790029
2019-02-05 00:00:00.000,binancecoin,7.06,1019274201.1476768,78011771.93744208
2019-02-06 00:00:00.000,binancecoin,7.7,1117271761.289444,102929718.5961246
2019-02-07 00:00:00.000,binancecoin,8.0,1154130751.238883,127535275.81797412
2019-02-08 00:00:00.000,binancecoin,7.75,1119073265.7409804,92044067.91510859
2019-02-09 00:00:00.000,binancecoin,8.58,1238651393.8028119,103365663.36175613
2019-02-10 00:00:00.000,binancecoin,8.83,1275790488.8612866,106057509.07951485
2019-02-11 00:00:00.000,binancecoin,9.0,1292369337.5155647,138758410.57521892
2019-02-12 00:00:00.000,binancecoin,9.4,1357706132.2269003,145656086.8349768
2019-02-13 00:00:00.000,binancecoin,9.29,1350152715.9607162,116196069.71947359
2019-02-14 00:00:00.000,binancecoin,8.85,1277643654.6726382,104438607.50334568
2019-02-15 00:00:00.000,binancecoin,8.69,1251539499.556175,81113577.37888946
2019-02-16 00:00:00.000,binancecoin,9.26,1337661455.9809282,83134182.42014979
2019-02-17 00:00:00.000,binancecoin,9.08,1313189982.36053,76132713.20068684
2019-02-18 00:00:00.000,binancecoin,9.21,1328906712.4205341,63513820.22468602
2019-02-19 00:00:00.000,binancecoin,9.56,1380396380.2046032,89244306.45473658
2019-02-20 00:00:00.000,binancecoin,10.48,1514339453.2709005,114786491.52094337
2019-02-21 00:00:00.000,binancecoin,11.09,1601780326.1776874,131715216.78473957
2019-02-22 00:00:00.000,binancecoin,10.42,1504486906.965667,95826113.22240314
2019-02-23 00:00:00.000,binancecoin,10.77,1555709306.2412965,91206857.99698018
2019-02-24 00:00:00.000,binancecoin,10.65,1538120596.8900266,90622220.43183246
2019-02-25 00:00:00.000,binancecoin,10.09,1464562398.035241,107459433.43998453
2019-02-26 00:00:00.000,binancecoin,9.69,1399491973.856428,153069825.64258987
2019-02-27 00:00:00.000,binancecoin,9.42,1360844868.4427445,83462864.34517199
2019-02-28 00:00:00.000,binancecoin,9.82,1420171312.719949,85185303.45694986
2019-03-01 00:00:00.000,binancecoin,10.25,1488164310.6686885,117695463.68349987
2019-03-02 00:00:00.000,binancecoin,11.25,1623998558.2720912,116289675.493588
2019-03-03 00:00:00.000,binancecoin,11.68,1686382111.767269,110990177.81073768
2019-03-04 00:00:00.000,binancecoin,11.31,1632056854.7718768,98128998.38303761
2019-03-05 00:00:00.000,binancecoin,11.42,1649930184.4379025,72915267.09626305
2019-03-06 00:00:00.000,binancecoin,13.63,1966673746.1869562,241795890.79812384
2019-03-07 00:00:00.000,binancecoin,14.48,2081209809.0188968,174878390.83028895
2019-03-08 00:00:00.000,binancecoin,14.91,2153066820.506911,255895242.32237655
2019-03-09 00:00:00.000,binancecoin,14.18,2039124309.4495633,229444554.52387246
2019-03-10 00:00:00.000,binancecoin,14.49,2092314032.8495858,154269493.58531827
2019-03-11 00:00:00.000,binancecoin,14.39,2078720950.3947418,134004302.35918869
2019-03-12 00:00:00.000,binancecoin,14.33,2065952584.6704817,168782322.98002735
2019-03-13 00:00:00.000,binancecoin,15.2,2213310829.99634,185520197.22829783
2019-03-14 00:00:00.000,binancecoin,14.96,2162875299.7693634,149568660.37064907
2019-03-15 00:00:00.000,binancecoin,14.85,2148221153.1995487,146417977.04693452
2019-03-16 00:00:00.000,binancecoin,14.88,2149727573.429469,142555940.5220394
2019-03-17 00:00:00.000,binancecoin,15.99,2310174527.6216125,146179693.73795968
2019-03-18 00:00:00.000,binancecoin,15.6,2253087911.698374,124009261.35904667
2019-03-19 00:00:00.000,binancecoin,15.52,2241879577.7316437,113662733.60787357
2019-03-20 00:00:00.000,binancecoin,15.43,2227786284.8483086,220909686.89779794
2019-03-21 00:00:00.000,binancecoin,15.16,2189168003.9425116,143502678.03107637
2019-03-22 00:00:00.000,binancecoin,14.39,2078022182.1033401,162136678.80965903
2019-03-23 00:00:00.000,binancecoin,15.18,2192221402.998418,146333090.15792197
2019-03-24 00:00:00.000,binancecoin,15.14,2185889843.1694818,116868631.7934292
2019-03-25 00:00:00.000,binancecoin,17.15,2477219277.4346976,272128059.37602484
2019-03-26 00:00:00.000,binancecoin,16.78,2424104547.9876556,157090025.84849587
2019-03-27 00:00:00.000,binancecoin,16.27,2345207328.31615,229456792.89492866
2019-03-28 00:00:00.000,binancecoin,16.59,2395580402.559602,186579891.03298664
2019-03-29 00:00:00.000,binancecoin,16.58,2395537703.072968,231920283.90466353
2019-03-30 00:00:00.000,binancecoin,16.48,2375698247.996095,130896316.0120547
2019-03-31 00:00:00.000,binancecoin,16.82,2428819888.2031417,193916084.72850648
2019-04-01 00:00:00.000,binancecoin,17.38,2518457976.521229,220740527.94456673
2019-04-02 00:00:00.000,binancecoin,17.89,2573847249.067477,147938499.4331303
2019-04-03 00:00:00.000,binancecoin,19.72,2850629840.5820174,231738006.80239198
2019-04-04 00:00:00.000,binancecoin,18.78,2688621470.736687,297303360.80382776
2019-04-05 00:00:00.000,binancecoin,19.19,2771011958.657585,183556226.24597645
